id,spec,stratum,section,field,text,obligation,syntax,meaning,paper2,heuristic_syntax,heuristic_meaning,heuristic_paper2,heuristic_agree
25,gpp-string,prose,"I’m a vendor and I already have an GVL ID, is there anything that I need to do?",,"When a creative is rendered, it may contain a number of pixels under ` ` tags.",permission,S0,M0,X,S0,M0,X,1
26,gpp-string,prose,"I’m a vendor and I already have an GVL ID, is there anything that I need to do?",,"Since the pixel is in an ` ` tag without the ability to execute Javascript, the CMP API cannot be used to obtain the GPP String.",obligation,S3,M1,C,S1,M0,B,0
27,gpp-string,prose,"I’m a vendor and I already have an GVL ID, is there anything that I need to do?",,"All parties in the ad supply chain who transact using URLs must add a pair of macros in their URLs where the GPP String, and applicable GPP Section IDs (SID), are inserted.",obligation,S3,M0,C,S1,M0,B,0
28,gpp-string,prose,"I’m a vendor and I already have an GVL ID, is there anything that I need to do?",,Any caller with access to the applicable GPP String must insert it within a URL containing the macros:,obligation,S3,M0,C,S1,M0,B,0
29,gpp-string,prose,"I’m a vendor and I already have an GVL ID, is there anything that I need to do?",,"- `${GPP_STRING_XXXXX}` where `XXXXX` is the numeric GPP ID of the vendor receiving the string. - The applicable GPP Section ID must also be inserted, where the ${GPP_SID} macro is present.",obligation,S3,M0,C,S3,M0,C,1
30,gpp-string,prose,"I’m a vendor and I already have an GVL ID, is there anything that I need to do?",,"MSPA, TCF CA, TCF EU) may pass ${GPP_STRING} without the GPP ID.",permission,S1,M0,B,S3,M0,C,0
31,gpp-string,prose,"I’m a vendor and I already have an GVL ID, is there anything that I need to do?",,Vendors who are registered to participate and have a GPP ID must include it in the macro.,obligation,S1,M1,C,S3,M0,C,0
32,gpp-string,prose,"I’m a vendor and I already have an GVL ID, is there anything that I need to do?",,"MSPA, TCF CA, TCF EU), vendors should reference each framework's policy.",recommendation,S0,M1,D,S1,M0,B,0
33,gpp-string,prose,"I’m a vendor and I already have an GVL ID, is there anything that I need to do?",,Example when `${GPP_STRING}` rather than `${GPP_STRING_XXXXX}` may be used:,permission,S0,M0,X,S0,M0,X,1
34,gpp-string,prose,"I’m a vendor and I already have an GVL ID, is there anything that I need to do?",,"Vendors who do not participate in the MSPA may request the string, but may not have a GPP ID.",permission,S1,M0,B,S1,M0,B,1
35,gpp-string,prose,"I’m a vendor and I already have an GVL ID, is there anything that I need to do?",,"In this case, `${GPP_STRING}` may be used.",permission,S1,M0,B,S3,M0,C,0
36,gpp-string,prose,"I’m a vendor and I already have an GVL ID, is there anything that I need to do?",,"Vendor A with ID 123 to receive a GPP String which includes the EU TCF v2 as applicable section, an image URL must include two key-value pairs with the URL parameters and macros `gpp=${GPP_STRING_123}` and `gpp_sid=${GPP_SID}`.",obligation,S0,M0,X,S1,M0,B,0
37,gpp-string,prose,"I’m a vendor and I already have an GVL ID, is there anything that I need to do?",,"GPP Strings must always be propagated as is, and not modified.",obligation,S3,M0,C,S1,M0,B,0
38,gpp-string,prose,"I’m a vendor and I already have an GVL ID, is there anything that I need to do?",,The service making the call must replace the macros with appropriate values described in the table below.,obligation,S3,M0,C,S1,M0,B,0
39,gpp-string,prose,"I’m a vendor and I already have an GVL ID, is there anything that I need to do?",,"For macro `${GPP_STRING_XXXXX}`, the service making the call must also check that the macro name contains a valid GPP ID before replacing the macro.",obligation,S3,M0,C,S3,M0,C,1
40,gpp-string,prose,"I’m a vendor and I already have an GVL ID, is there anything that I need to do?",,"The creator of the URL should ensure these parameters are added only once, and are passed to services which are expecting them and can handle them properly.",recommendation,S1,M0,B,S1,M0,B,1
41,gpp-string,field-desc,"I’m a vendor and I already have an GVL ID, is there anything that I need to do?",${GPP_SID},"In most cases, this field should have a single section ID.",recommendation,S1,M0,B,S1,M0,B,1
42,gpp-string,field-desc,"I’m a vendor and I already have an GVL ID, is there anything that I need to do?",${GPP_SID},"In rare occasions where such a single section ID can not be determined, the field may contain up to 2 values, separated by a comma.",permission,S1,M0,B,S1,M0,B,1
43,gpp-string,field-desc,"I’m a vendor and I already have an GVL ID, is there anything that I need to do?",${GPP_SID},"As the GPP String may encode user preferences for multiple jurisdictions, this field indicates to the callee which section of the string is considered “in force” by the caller.",permission,S1,M2,D,S1,M0,B,0
44,gpp-string,field-desc,"I’m a vendor and I already have an GVL ID, is there anything that I need to do?",${GPP_SID},This should match the value returned by the CMP API.,recommendation,S3,M1,C,S1,M0,B,0
45,gpp-guidelines,prose,1.1 Getting Started,,"Before adopting and implementing the IAB Global Privacy Protocol (GPP) standard, a company should consider the following:",recommendation,S0,M0,X,S0,M0,X,1
46,gpp-guidelines,prose,1.1 Getting Started,,Regulatory Requirements: You must start with your compliance team or legal counsel to ensure that the GPP standard aligns with the privacy regulations applicable to your business and to verify the protocol supports the jurisdictions your company operates in.,obligation,S0,M0,X,S0,M0,X,1
47,gpp-guidelines,prose,1.1 Getting Started,,Resources required for ongoing monitoring of compliance with new and updated regulations.,obligation,S0,M0,X,S0,M0,X,1
48,gpp-guidelines,prose,1.3 Core GPP specifications,,"The GPP API Specification describes the Consent Management Platform (CMP) API, which is the mechanism web pages and apps use to interact with CMPs, including how providers of the API must implement it and what callers of the API can expect.",obligation,S0,M1,X,S0,M1,D,0
49,gpp-guidelines,prose,1.3 Core GPP specifications,,It also provides the primitive data types that may be used in any section specification.,permission,S0,M0,X,S0,M1,D,0
50,gpp-guidelines,prose,1.3 Core GPP specifications,,The header section is always required and always comes first.,obligation,S1,M0,A,S1,M0,B,0
51,gpp-guidelines,prose,1.4 Section Specifications - Understanding sections and subsections,,"As such, only one section should be sent in a given string, understanding that an individual is typically afforded rights under a single jurisdiction.",recommendation,S1,M0,B,S1,M0,B,1
52,gpp-guidelines,prose,1.4 Section Specifications - Understanding sections and subsections,,"However, you may encounter multiple sections identified within the Section ID (gpp\_sid).",permission,S1,M0,A,S1,M0,B,0
53,gpp-guidelines,prose,1.4.1 What is the difference between sections and subsections?,,"Until then, the TC string must be included in your transaction headers, the TCF API must be implemented on your page, and vendors are required to look for and interpret the TC string for all transactions where GDPR is applicable.",obligation,S3,M1,C,S3,M0,C,0
54,gpp-guidelines,prose,1.4.1 What is the difference between sections and subsections?,,The US Privacy section is deprecated and should not be used.,recommendation,S1,M0,B,S1,M0,B,1
55,gpp-guidelines,prose,1.4.1 What is the difference between sections and subsections?,,The signals in the MSPA/US National Section can be evaluated for required compliance in light of the MSPA.,obligation,S0,M1,D,S0,M1,D,1
56,gpp-guidelines,prose,1.4.1 What is the difference between sections and subsections?,,"Every string consists of at least one section, but each section may contain multiple subsections.",permission,S1,M0,A,S1,M0,A,1
57,gpp-guidelines,prose,1.4.1 What is the difference between sections and subsections?,,"For example, while US state privacy laws typically allow for processing unless an opt-out signal has been received, there are different levels of consent required for processing sensitive personal information or children’s data.",obligation,S0,M1,X,S0,M1,D,0
58,gpp-guidelines,prose,2. Publisher/Advertiser (Digital Property Owners) Guidelines,,This section details the overall guidelines that digital property owners should typically follow when implementing the GPP.,recommendation,S0,M1,X,S0,M0,X,0
59,gpp-guidelines,prose,2.1 About Consent Management Platforms (CMPs),,The digital property owner may implement a CMP in two ways:,permission,S0,M1,X,S0,M1,X,1
60,gpp-guidelines,prose,2.1 About Consent Management Platforms (CMPs),,"Regardless of the choice to build or outsource the CMP, digital property owners should be aware of the sections in the GPP that include additional CMP requirements such as registration.",recommendation,S0,M1,X,S0,M1,X,1
61,gpp-guidelines,prose,2.1 About Consent Management Platforms (CMPs),,Digital property owners who choose to develop an in-house CMP should also refer to the CMP Guidelines section of these guidelines.,recommendation,S0,M1,X,S0,M1,X,1
62,gpp-guidelines,prose,2.2 Deciding which sections to support,,Digital property owners may operate in one or multiple jurisdictions where there is a need to provide their users with transparency and choice.,permission,S0,M1,X,S0,M1,X,1
63,gpp-guidelines,prose,2.2 Deciding which sections to support,,Digital property owners should consult their business and legal teams to determine which sections of the GPP they should support.,recommendation,S0,M1,X,S0,M1,X,1
64,gpp-guidelines,prose,2.2 Deciding which sections to support,,They should also consult their CMPs (if using a commercial CMP) to determine which sections the CMP is ready to support.,recommendation,S0,M1,X,S0,M1,X,1
65,gpp-guidelines,prose,2.2 Deciding which sections to support,,"Last, digital property owners should work with their vendor partners to understand which sections their partners are ready to support.",recommendation,S0,M1,X,S0,M1,X,1
66,gpp-guidelines,prose,3. CMP Guidelines,,This section details the overall guidelines that consent management platforms should follow when implementing the GPP.,recommendation,S0,M1,X,S0,M0,X,0
67,gpp-guidelines,prose,3.1 CMP IDs,,"If you support a section that requires a CMP ID, you should always provide your ID in that field (field may be set to 0 during your stub/loading phase).",recommendation,S1,M1,B,S0,M1,D,0
68,gpp-guidelines,prose,3.1 CMP IDs,,"If you do not have an assigned CMP ID due to not supporting sections that require one, you should set the field to 1.",recommendation,S1,M1,B,S0,M1,D,0
69,gpp-guidelines,prose,3.2 Presentation of user choices,,This may further require IAB certification.,permission,S0,M1,X,S0,M1,X,1
70,gpp-guidelines,prose,3.2 Presentation of user choices,,"Note that these user interfaces may be surfaced in different ways; some frameworks may require that the user is automatically presented with a blocking interface upon visiting the site or app, whereas others may be triggered by the user clicking a link embedded in the site or app.",permission,S0,M1,X,S0,M1,X,1
71,gpp-guidelines,prose,3.3 Supported APIs,,"As a CMP that supports the GPP, you are not required to implement all supported sections.",obligation,S0,M1,D,S0,M1,D,1
72,gpp-guidelines,prose,3.3 Supported APIs,,Note that the `applicableSections` list is separate from the range-encoded Sections list in the GPP string header itself; the GPP header Sections list should contain only the list of section IDs that correspond to the sections present in the latter part of the GPP string.,recommendation,S2,M0,B,S2,M0,B,1
73,gpp-guidelines,prose,3.4 Applicable section(s),,This field should be set only to the individual section IDs that you have determined are applicable to this request; it should not be set to the list of all sections that you support as a CMP.,recommendation,S1,M2,B,S1,M0,B,0
74,gpp-guidelines,prose,3.4 Applicable section(s),,"This is typically determined primarily by the end user’s geolocation, although CMPs may use other factors at their discretion in conjunction with your legal and business teams.",permission,S0,M2,D,S1,M2,D,0
75,gpp-guidelines,prose,3.4 Applicable section(s),,"For example, if you support both the MSPA US National section as well as a state section also supported by MSPA US National, you can determine which section between the two actually applies and should be read by vendors.",recommendation,S0,M2,D,S1,M2,D,0
76,gpp-guidelines,prose,3.4 Applicable section(s),,"In the above example, where multiple frameworks apply, you may choose to signal both as applicable or select a single section.",permission,S0,M2,D,S1,M2,D,0
77,gpp-guidelines,prose,3.5 Encoding the GPP string,,"Note that while the recommended encoding format uses the base64 alphabet, the encoding is only “base64-like” and it uses a different grouping and padding format.",recommendation,S1,M0,B,S1,M0,B,1
78,gpp-guidelines,prose,3.6 API lifecycle: Managing “opt in” vs. “opt out” frameworks,,"Some, like TCF, are considered to be “opt in” where the user must make a selection prior to proceeding in the site or app, whereas others, like MSPA US National, are considered to be “opt out”, where the user triggers the consent layer through an embedded link on the site or app.",obligation,S0,M1,D,S0,M1,D,1
79,gpp-guidelines,prose,3.6 API lifecycle: Managing “opt in” vs. “opt out” frameworks,,"Note that for an “opt out”-style framework, this field may immediately be set to `ready`, as long as an initial string for the applicable section has been generated (or if there is no applicable section).",permission,S0,M1,D,S0,M1,D,1
80,gpp-guidelines,prose,3.6 API lifecycle: Managing “opt in” vs. “opt out” frameworks,,"Note that for frameworks that do not have a blocking display layer (e.g. where a user triggers the consent dialog via a “Do not sell or share” link), this value should always be null; callers will rely on the `signalStatus` field to determine if the GPP string is ready for consumption.",recommendation,S0,M1,D,S1,M0,B,0
81,gpp-guidelines,prose,4. Vendor Guidelines,,The GPP provides vendors with a technical mechanism to understand where processing is allowed and where processing may be restricted under applicable privacy laws and regulations.,permission,S0,M1,X,S0,M0,X,0
82,gpp-guidelines,prose,4.1 Vendor IDs,,"Note that not all sections necessarily require registration; however, when registration is required, the Vendor ID is consistent across all frameworks.",obligation,S0,M1,X,S0,M1,D,0
83,gpp-guidelines,prose,How Vendor IDs Are Used,,Vendors that are not included in the GPP string are required to respect the lack of consent and avoid processing personal data.,obligation,S0,M1,D,S0,M1,D,1
84,gpp-guidelines,prose,4.2 Finding a GPP String,,"GPP strings are created by CMPs and can be found through a CMP API call, through the OpenRTB Regs object (when you don’t have access to the browser), or by reading the URL parameters (where JavaScript cannot be executed).",obligation,S3,M0,C,S3,M0,C,1
85,gpp-guidelines,prose,4.2 Finding a GPP String,,"When GPP is received client side (e.g., any code snippet deployed directly on the browser, such as JavaScript), the GPP CMP API should be used to access the encoded string.",recommendation,S3,M0,C,S3,M0,C,1
86,gpp-guidelines,prose,4.2 Finding a GPP String,,"If GPP is received server side (e.g., OpenRTB), you should read the encoded string from the Regs object.",recommendation,S3,M0,C,S3,M0,C,1
87,gpp-guidelines,prose,4.4 Sending a GPP String,,"For any server-side call, if using openRTB, the consent payload should be sent according to the openRTB specs.",recommendation,S3,M0,C,S3,M0,C,1
88,gpp-guidelines,prose,4.4 Sending a GPP String,,"After validating the PingReturn payload is suitable for your case, you should pass the GPP string in the ad call using the URL-passing macro solution detailed in documentation for the GPP String.",recommendation,S3,M0,C,S3,M0,C,1
89,gpp-guidelines,prose,"What’s the difference between a GPP ID, TCF Vendor ID, and an MSPA Signatory ID?",,It's important to note that vendors must register for each specific framework they wish to participate in.,obligation,S0,M1,D,S0,M1,D,1
90,tcf-v2-string,prose,Introduction,,"Under the GDPR, controllers are required to create and maintain records of compliance, including, but not limited to user consent records.",obligation,S0,M1,X,S0,M1,D,0
91,tcf-v2-string,prose,Introduction,,"Prescribed use of the TCF may support compliance with the GDPR, but the real benefit to the digital advertising ecosystem is a safer Internet for consumers, and more reliable data for brands and publishers.",permission,S0,M1,X,S0,M0,X,0
92,tcf-v2-string,prose,Introduction,,"To participate in the use of the TCF, vendors must make a public attestation of compliance with the Policies for using it.",obligation,S0,M1,X,S0,M1,D,0
93,tcf-v2-string,prose,Introduction,,CMPs must follow technical standards provided in this document for creating TC Strings in compliance with TCF Policies.,obligation,S0,M1,D,S0,M1,D,1
94,tcf-v2-string,prose,Introduction,,They must also follow technical standards guidance for using the CMP API specified in this document to receive and process information provided in a TC String.,obligation,S0,M1,D,S0,M1,D,1
95,tcf-v2-string,prose,Audience,,"In particular, first parties (content publishers, advertisers, and other suppliers of online services) and third-party (vendors for data-driven services) organisations should be familiar with the purpose and scope of a TC String as well as what information it provides, and support its implementation.",recommendation,S0,M0,X,S0,M0,X,1
96,tcf-v2-string,prose,About the Transparency & Consent String (TC String),,"This document specifies how that string must be formatted, who should use it, and how it must be used.",obligation,S1,M0,B,S0,M0,X,0
97,tcf-v2-string,prose,What information is stored in a TC String?,,Publisher transparency and consent: a segment of a TC String that publishers may use to establish transparency with and receive consent from users for their own legal bases to process personal data or to share with vendors if they so choose.,permission,S0,M1,X,S0,M1,D,0
98,tcf-v2-string,prose,Who should create a TC string?,,A Transparency & Consent String may only be created by an IAB Europe TCF registered CMP using its assigned CMP ID number in accordance with the Policies.,permission,S0,M1,D,S0,M1,D,1
99,tcf-v2-string,prose,Who should create a TC string?,,Vendors or any other third-party service providers must neither create nor alter TC Strings.,obligation,S0,M1,D,S0,M1,D,1
100,tcf-v2-string,prose,When should a TC string be created?,,A TC String that contains positive consent signals must not be created before clear affirmative action is taken by a user that unambiguously signifies that user’s consent.,obligation,S0,M1,D,S0,M1,D,1
101,tcf-v2-string,prose,When should a TC string be created?,,"However, a TC String may be created with only legitimate interest establishment signals providing that legitimate interest transparency has been established in accordance with the Policies.",permission,S0,M1,D,S0,M1,D,1
102,tcf-v2-string,prose,What is the scope for a TC String?,,CMPs must operate in a service-specific or group-specific configuration.,obligation,S0,M1,D,S0,M1,D,1
103,tcf-v2-string,prose,What is the scope for a TC String?,,They may contain _Publisher restrictions_ and a _Publisher TC_ segment when returned by the CMP API.,permission,S0,M1,D,S0,M1,D,1
104,tcf-v2-string,prose,What are publisher restrictions?,,Version 2.0 of the Framework introduced the ability for publishers to signal restrictions on how vendors may process personal data.,permission,S0,M1,D,S0,M1,D,1
105,tcf-v2-string,prose,What are publisher restrictions?,,In order for vendors to determine if processing is permissible at all for a specific purpose or which legal basis is applicable (in case they signaled flexibility in the GVL) restrictions must be respected.,obligation,S0,M1,D,S0,M1,D,1
106,tcf-v2-string,prose,What are publisher restrictions?,,Vendors must always respect a restriction signal that disallows them the processing for a specific purpose regardless of whether or not they have declared that purpose to be “flexible”.,obligation,S0,M1,D,S0,M1,D,1
107,tcf-v2-string,prose,What are publisher restrictions?,,Vendors that declared a purpose with a default legal basis (consent or legitimate interest respectively) but also declared this purpose as flexible must respect a legal basis restriction if present.,obligation,S0,M1,D,S0,M1,D,1
108,tcf-v2-string,prose,What are publisher restrictions?,,"That means for example in case they declared a purpose as legitimate interest but also declared that purpose as flexible and there is a legal basis restriction to require consent, they must then check for the consent signal and must not apply the legitimate interest signal.",obligation,S0,M1,D,S0,M1,D,1
109,tcf-v2-string,prose,What are publisher restrictions?,,In case a vendor has declared flexibility for a purpose and there is no legal basis restriction signal it must always apply the default legal basis under which the purpose was registered aside from being registered as flexible.,obligation,S0,M1,D,S0,M1,D,1
110,tcf-v2-string,prose,What are publisher restrictions?,,"That means if a vendor declared a purpose as legitimate interest and also declared that purpose as flexible it may not apply a ""consent"" signal without a legal basis restriction signal to require consent.",permission,S0,M1,D,S0,M1,D,1
111,tcf-v2-string,prose,How does a URL-based service process the TC string when it can't execute JavaScript?,,"When a creative is rendered, it may contain a number of pixels under ` ` tags.",permission,S0,M0,X,S0,M0,X,1
112,tcf-v2-string,prose,How does a URL-based service process the TC string when it can't execute JavaScript?,,"Since the pixel is in an ` ` tag without the ability to execute JavaScript, the CMP API cannot be used to obtain the TC String.",obligation,S3,M0,C,S3,M0,C,1
113,tcf-v2-string,prose,How does a URL-based service process the TC string when it can't execute JavaScript?,,All parties in the ad supply chain who transact using URLs must add a macro in their URLs where the TC String is inserted.,obligation,S3,M0,C,S3,M0,C,1
114,tcf-v2-string,prose,How does a URL-based service process the TC string when it can't execute JavaScript?,,Any caller with access to the applicable TC String must insert it within a URL containing the macro `${GDPR_CONSENT_XXXXX}` where `XXXXX` is the numeric Vendor ID of the vendor receiving the TC string.,obligation,S3,M0,C,S3,M0,C,1
115,tcf-v2-string,prose,How does a URL-based service process the TC string when it can't execute JavaScript?,,"For example, for Vendor A with ID 123 to receive a TC String, an image URL must include a key-value pair with the URL parameter and macro `gdpr_consent=${GDPR_CONSENT_123}`.",obligation,S3,M0,C,S3,M0,C,1
116,tcf-v2-string,prose,How does a URL-based service process the TC string when it can't execute JavaScript?,,"TC Strings must always be propagated as is, and not modified.",obligation,S3,M0,C,S3,M0,C,1
117,tcf-v2-string,prose,Full TC String passing,,The service making the call must replace the macros with appropriate values described in the table below.,obligation,S3,M0,C,S3,M0,C,1
118,tcf-v2-string,prose,Full TC String passing,,"For macro `${GDPR_CONSENT_XXXXX}`, the service making the call must also check that the macro name contains a valid Vendor ID before replacing the macro.",obligation,S3,M0,C,S3,M0,C,1
119,tcf-v2-string,prose,Full TC String passing,,"The creator of the URL should ensure these parameters are added only once, and are passed to services which are expecting them and can handle them properly.",recommendation,S1,M0,B,S3,M0,C,0
120,tcf-v2-string,prose,Full TC String passing,,"Note: other personal data, like IP addresses or callee cookies, may be passed as part of the request, and the `gdpr` and `gdpr_consent_xxxxx` is used by the callee to determine whether an identifier cookie or other personal data can be set and/or used.",permission,S3,M1,C,S3,M0,C,0
121,tcf-v2-string,prose,What if consent is governed differently in a country?,,Policies require consent for Purpose 1 to store and/or access information on a device “where such consent is necessary” leaving the responsibility to publishers and vendors to determine if consent in those jurisdictions is required or not.,obligation,S0,M1,D,S0,M1,D,1
122,tcf-v2-string,prose,What if consent is governed differently in a country?,,"Even though it is valid within that jurisdiction to not request consent for Purpose 1, a vendor would interpret that `0` as a “no consent” signal and have no way of knowing that consent was not required in the jurisdiction in which the publisher operates.",obligation,S0,M1,D,S0,M1,D,1
123,tcf-v2-string,prose,Why was the disclosed vendor section made mandatory in TCF 2.3?,,"This section, previously optional, allows CMPs to explicitly declare which vendors have been disclosed to the user.",permission,S0,M1,X,S1,M1,B,0
124,tcf-v2-string,prose,Why was the disclosed vendor section made mandatory in TCF 2.3?,,"By making it required, there is no longer any uncertainty about whether a vendor that only declares special purposes has been disclosed (previously a blank section left disclosure ambiguous).",obligation,S1,M1,B,S1,M1,B,1
125,tcf-v2-string,prose,Managing conflicting string versions,,"TC Strings with policy version 3 created until 30 September 2023 may still be returned by the CMP API post 30 September 2023""",permission,S0,M1,D,S2,M0,B,0
126,tcf-v2-string,prose,Managing conflicting string versions,,"If a CMP encounters a situation where both a v1.x string and a v2.0 string are erroneously present simultaneously, the CMP should remove the v1.x string to ensure that there is only one source of truth for consumers of the string.",recommendation,S0,M1,D,S2,M0,B,0
127,tcf-v2-string,prose,Managing conflicting string versions,,"While this possibility is remote, it should be guarded against – a CMP should work with a publisher to help them accomplish their goals.",recommendation,S0,M1,D,S2,M0,B,0
128,tcf-v2-string,prose,Managing conflicting string versions,,CMPs may need to take this into consideration when deciding on the storage mechanism for those TC Strings.,permission,S0,M1,D,S2,M0,B,0
129,tcf-v2-string,prose,TC String Format,,A TC String must contain a Core TC String and the _Disclosed Vendors_ segment.,obligation,S1,M0,A,S1,M0,B,0
130,tcf-v2-string,prose,TC String Format,,It may optionally contain a _Publisher TC_ segment:,permission,S1,M0,A,S0,M1,D,0
131,tcf-v2-string,prose,TC String Format,,The _Core String_ is always required and comes first and includes all the details required for communicating basic vendor transparency and consent.,obligation,S1,M0,A,S1,M0,B,0
132,tcf-v2-string,prose,TC String Format,,All subsequent segments (disclosedVendors and PublisherTC) may appear in any order because each includes a segment ID used for identification.,permission,S1,M0,A,S1,M0,A,1
133,tcf-v2-string,prose,TC String Format,,The _Core String_ comes first and includes all the details required for communicating basic vendor transparency and consent.,obligation,S1,M0,A,S1,M0,B,0
134,tcf-v2-string,field-desc,TC String Format,Created,"36 bits Epoch time format when TC String was last updated (must be updated any time a value is changed) To create a timestamp in JavaScript: Math.round(Date.UTC(new Date().getUTCFullYear(), new Date().getUTCMonth(), new Date().getUTCDate())/100) .",obligation,S1,M0,B,S1,M0,B,1
135,tcf-v2-string,field-desc,TC String Format,Created,"Also, the timestamp must be based in UTC time in order to get a consistent decisecond value across the time zones.",obligation,S1,M0,B,S1,M0,B,1
136,tcf-v2-string,field-desc,TC String Format,LastUpdated,36 bits Epoch time format when TC String was last updated (must be updated any time a value is changed),obligation,S1,M0,B,S1,M0,B,1
137,tcf-v2-string,field-desc,TC String Format,CmpVersion,12 bits Consent Management Platform version of the CMP that last updated this TC String Each change to a CMP should increment their internally assigned version number as a record of which version the user gave consent and transparency was established.,recommendation,S1,M1,B,S0,M1,D,0
